Reference,Qty,Value,Footprint,Description
"C1, C10, C12, C15",4,100nF,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C2,1,4u7,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Polarized capacitor
C3,1,100pF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C4,1,2n2,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C5,1,47nF,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C6,1,47uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Polarized capacitor
C7,1,4n7,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C8,1,22nF,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C9,1,10nF,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C11,1,1uF,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,Unpolarized capacitor
C13,1,100uF,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,Polarized capacitor
C14,1,10uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Polarized capacitor
"D1, D2",2,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,"100V 0.15A standard switching diode, DO-35"
D3*,1,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,"40V 1A Schottky Barrier Rectifier Diode, DO-41"
D4*,1,LED,LED_THT:LED_D3.0mm,Light emitting diode
J1,1,IN,Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical,"Generic connector, single row, 01x01, script generated"
J2,1,OUT,Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical,"Generic connector, single row, 01x01, script generated"
J3,1,PWR,Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical,"Generic connector, single row, 01x01, script generated"
J4,1,LED,Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical,"Generic connector, single row, 01x01, script generated"
J5,1,GND,Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical,"Generic connector, single row, 01x01, script generated"
Q1*,1,2N5088,Package_TO_SOT_THT:TO-92_Inline,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
Q2*,1,2N4401,Package_TO_SOT_THT:TO-92_Inline,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
"R1, R15",2,1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
"R2-R4, R12",4,10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
"R5, R10",2,100K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R6,1,220R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R7,1,4K7,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
"R8, R13",2,2K2,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R9,1,1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R11,1,1K5,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R14,1,33K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R16*,1,47R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,Resistor 1/2W
"R17, R18",2,220K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor 1/4W
R19*,1,4K7,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,Resistor 1/2W
RV1-RV3*,3,100KA,Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,Potentiometer
U1*,1,JRC4558,Package_DIP:DIP-8_W7.62mm_Socket,"Dual General Purpose, Operational Amplifier, DIP-8/SOIC-8/SSOP-8"
